-0.0003 	-0.0201 	-0.0143 	-0.7197 	 1.5691 	 0.0000 	 2.4218 
-0.0003 	-0.0200 	-0.0144 	-0.7197 	 1.5691 	 0.0000 	 2.4218 
-0.0003 	-0.0200 	-0.0144 	-0.7197 	 1.5691 	 0.0000 	 2.4218 
-0.0003 	-0.0200 	-0.0144 	-0.7197 	 1.5691 	 0.0000 	 2.4218 
-0.0003 	-0.0200 	-0.0144 	-0.7197 	 1.5691 	 0.0000 	 2.4218 
-0.0003 	-0.0200 	-0.0144 	-0.7196 	 1.5691 	 0.0000 	 2.4218 
-0.0003 	-0.0200 	-0.0145 	-0.7196 	 1.5691 	 0.0000 	 2.4218 
-0.0003 	-0.0200 	-0.0145 	-0.7196 	 1.5691 	 0.0000 	 2.4218 
-0.0003 	-0.0200 	-0.0145 	-0.7196 	 1.5691 	 0.0000 	 2.4218 
-0.0003 	-0.0199 	-0.0145 	-0.7196 	 1.5691 	 0.0000 	 2.4218 
-0.0003 	-0.0199 	-0.0145 	-0.7197 	 1.5691 	 0.0000 	 2.4218 
-0.0003 	-0.0199 	-0.0146 	-0.7197 	 1.5691 	 0.0000 	 2.4218 
-0.0003 	-0.0199 	-0.0146 	-0.7197 	 1.5691 	 0.0000 	 2.4218 
-0.0003 	-0.0199 	-0.0146 	-0.7197 	 1.5691 	 0.0000 	 2.4218 
-0.0003 	-0.0199 	-0.0146 	-0.7197 	 1.5691 	 0.0000 	 2.4218 
-0.0003 	-0.0199 	-0.0146 	-0.7197 	 1.5691 	 0.0000 	 2.4218 
-0.0003 	-0.0198 	-0.0147 	-0.7196 	 1.5691 	 0.0000 	 2.4218 
-0.0003 	-0.0198 	-0.0147 	-0.7196 	 1.5691 	 0.0000 	 2.4218 
-0.0003 	-0.0198 	-0.0147 	-0.7196 	 1.5691 	 0.0000 	 2.4218 
-0.0003 	-0.0198 	-0.0147 	-0.7196 	 1.5691 	 0.0000 	 2.4218 
-0.0003 	-0.0198 	-0.0147 	-0.7198 	 1.5691 	 0.0000 	 2.4218 
-0.0003 	-0.0198 	-0.0147 	-0.7197 	 1.5691 	 0.0000 	 2.4218 
-0.0003 	-0.0198 	-0.0148 	-0.7197 	 1.5691 	 0.0000 	 2.4218 
-0.0003 	-0.0198 	-0.0148 	-0.7197 	 1.5691 	 0.0000 	 2.4218 
-0.0003 	-0.0197 	-0.0148 	-0.7197 	 1.5691 	 0.0000 	 2.4218 
-0.0003 	-0.0197 	-0.0148 	-0.7197 	 1.5691 	 0.0000 	 2.4218 
-0.0003 	-0.0197 	-0.0148 	-0.7197 	 1.5691 	 0.0000 	 2.4218 
-0.0003 	-0.0197 	-0.0148 	-0.7197 	 1.5691 	 0.0000 	 2.4218 
-0.0003 	-0.0197 	-0.0148 	-0.7197 	 1.5691 	 0.0000 	 2.4218 
-0.0003 	-0.0197 	-0.0148 	-0.7197 	 1.5691 	 0.0000 	 2.4218 
-0.0003 	-0.0197 	-0.0148 	-0.7197 	 1.5691 	 0.0000 	 2.4218 
-0.0003 	-0.0197 	-0.0148 	-0.7197 	 1.5691 	 0.0000 	 2.4218 
-0.0003 	-0.0197 	-0.0149 	-0.7196 	 1.5691 	 0.0000 	 2.4218 
-0.0003 	-0.0197 	-0.0149 	-0.7196 	 1.5691 	 0.0000 	 2.4218 
-0.0003 	-0.0197 	-0.0149 	-0.7196 	 1.5691 	 0.0000 	 2.4218 
-0.0003 	-0.0196 	-0.0149 	-0.7198 	 1.5691 	 0.0000 	 2.4218 
-0.0003 	-0.0196 	-0.0149 	-0.7198 	 1.5691 	 0.0000 	 2.4218 
-0.0003 	-0.0196 	-0.0149 	-0.7198 	 1.5691 	 0.0000 	 2.4218 
-0.0003 	-0.0196 	-0.0149 	-0.7197 	 1.5691 	 0.0000 	 2.4218 
-0.0004 	-0.0196 	-0.0149 	-0.7197 	 1.5691 	 0.0000 	 2.4218 
-0.0004 	-0.0196 	-0.0149 	-0.7197 	 1.5691 	 0.0000 	 2.4218 
-0.0004 	-0.0196 	-0.0150 	-0.7197 	 1.5691 	 0.0000 	 2.4218 
-0.0004 	-0.0196 	-0.0150 	-0.7197 	 1.5691 	 0.0000 	 2.4218 
-0.0004 	-0.0196 	-0.0150 	-0.7197 	 1.5691 	 0.0000 	 2.4218 
-0.0004 	-0.0196 	-0.0150 	-0.7197 	 1.5691 	 0.0030 	 2.4218 
-0.0004 	-0.0195 	-0.0150 	-0.7197 	 1.5691 	 0.0030 	 2.4218 
-0.0004 	-0.0195 	-0.0150 	-0.7197 	 1.5691 	 0.0030 	 2.4218 
-0.0004 	-0.0195 	-0.0150 	-0.7197 	 1.5691 	 0.0030 	 2.4218 
-0.0004 	-0.0195 	-0.0150 	-0.7197 	 1.5691 	 0.0030 	 2.4218 
-0.0004 	-0.0195 	-0.0150 	-0.7197 	 1.5691 	 0.0030 	 2.4218 
-0.0004 	-0.0195 	-0.0150 	-0.7197 	 1.5691 	 0.0030 	 2.4218 
-0.0004 	-0.0195 	-0.0150 	-0.7197 	 1.5691 	 0.0030 	 2.4218 
-0.0004 	-0.0195 	-0.0151 	-0.7197 	 1.5691 	 0.0030 	 2.4218 
-0.0004 	-0.0195 	-0.0151 	-0.7197 	 1.5691 	 0.0030 	 2.4218 
-0.0004 	-0.0195 	-0.0150 	-0.7197 	 1.5691 	 0.0030 	 2.4218 
-0.0004 	-0.0195 	-0.0150 	-0.7197 	 1.5691 	 0.0030 	 2.4218 
-0.0004 	-0.0195 	-0.0150 	-0.7197 	 1.5691 	 0.0030 	 2.4218 
